"code","name","hierarchy_level","hierarchy_level_name","parent_loc_code","lang_code","is_active","cr_by","cr_dtimes","upd_by","upd_dtimes","is_deleted","del_dtimes","column11","column12","column13","column14","column15","column16","column17","column18","column19","column20","column21","column22","column23","column24","column25","column26"
"8100",country,0,country,null,eng,true,admin,2024-05-09 13:01:26.953,,,false,,,,,,,,,,,,,,,,,
"8101",Canton,1,provience,"8100",eng,true,admin,2024-05-09 13:01:26.953,,,false,,,,,,,,,,,,,,,,,
"8102",Delaware,1,provience,"8100",eng,true,admin,2024-05-09 13:01:26.953,,,false,,,,,,,,,,,,,,,,,
"8201",Farmington,2,city,"8101",eng,true,admin,2024-05-09 13:01:26.953,,,false,,,,,,,,,,,,,,,,,
"8202",El Dorado,2,city,"8101",eng,true,admin,2024-05-09 13:01:26.953,,,false,,,,,,,,,,,,,,,,,
"8203",Magnolia,2,city,"8102",eng,true,admin,2024-05-09 13:01:26.953,,,false,,,,,,,,,,,,,,,,,
"8204",Alhambra,2,city,"8102",eng,true,admin,2024-05-09 13:01:26.953,,,false,,,,,,,,,,,,,,,,,
"8301",Grahamstown,3,village,"8201",eng,true,admin,2024-05-09 13:01:26.953,,,false,,,,,,,,,,,,,,,,,
"8302",Pretoria,3,village,"8201",eng,true,admin,2024-05-09 13:01:26.953,,,false,,,,,,,,,,,,,,,,,
"8303",Brakpan,3,village,"8202",eng,true,admin,2024-05-09 13:01:26.953,,,false,,,,,,,,,,,,,,,,,
"8304",Parys,3,village,"8202",eng,true,admin,2024-05-09 13:01:26.953,,,false,,,,,,,,,,,,,,,,,
"8305",Sasolburg,3,village,"8203",eng,true,admin,2024-05-09 13:01:26.953,,,false,,,,,,,,,,,,,,,,,
"8306",Kahului,3,village,"8203",eng,true,admin,2024-05-09 13:01:26.953,,,false,,,,,,,,,,,,,,,,,
"8307",Boise,3,village,"8204",eng,true,admin,2024-05-09 13:01:26.953,,,false,,,,,,,,,,,,,,,,,
"8308",Nampa,3,village,"8204",eng,true,admin,2024-05-09 13:01:26.953,,,false,,,,,,,,,,,,,,,,,
"8100",دولة,0,دولة,null,ara,true,admin,2024-05-09 13:01:26.953,,,false,,,,,,,,,,,,,,,,,
"8101",كانتون,1,بروفينس,"8100",ara,true,admin,2024-05-09 13:01:26.953,,,false,,,,,,,,,,,,,,,,,
"8102",ديلاوير,1,بروفينس,"8100",ara,true,admin,2024-05-09 13:01:26.953,,,false,,,,,,,,,,,,,,,,,
"8201",فارمنجتون,2,مدينة,"8101",ara,true,admin,2024-05-09 13:01:26.953,,,false,,,,,,,,,,,,,,,,,
"8202",الدورادو,2,مدينة,"8101",ara,true,admin,2024-05-09 13:01:26.953,,,false,,,,,,,,,,,,,,,,,
"8203",ماغنوليا,2,مدينة,"8102",ara,true,admin,2024-05-09 13:01:26.953,,,false,,,,,,,,,,,,,,,,,
"8204",قصر الحمراء,2,مدينة,"8102",ara,true,admin,2024-05-09 13:01:26.953,,,false,,,,,,,,,,,,,,,,,
"8301",جراهامستاون,3,قرية,"8201",ara,true,admin,2024-05-09 13:01:26.953,,,false,,,,,,,,,,,,,,,,,
"8302",بريتوريا,3,قرية,"8201",ara,true,admin,2024-05-09 13:01:26.953,,,false,,,,,,,,,,,,,,,,,
"8303",براكبان,3,قرية,"8202",ara,true,admin,2024-05-09 13:01:26.953,,,false,,,,,,,,,,,,,,,,,
"8304",باريز,3,قرية,"8202",ara,true,admin,2024-05-09 13:01:26.953,,,false,,,,,,,,,,,,,,,,,
"8305",ساسولبرج,3,قرية,"8203",ara,true,admin,2024-05-09 13:01:26.953,,,false,,,,,,,,,,,,,,,,,
"8306",كاهولوي,3,قرية,"8203",ara,true,admin,2024-05-09 13:01:26.953,,,false,,,,,,,,,,,,,,,,,
"8307",بويز,3,قرية,"8204",ara,true,admin,2024-05-09 13:01:26.953,,,false,,,,,,,,,,,,,,,,,
"8308",نامبا,3,قرية,"8204",ara,true,admin,2024-05-09 13:01:26.953,,,false,,,,,,,,,,,,,,,,,
"8100",pays,0,pays,null,fra,true,admin,2024-05-09 13:01:26.953,,,false,,,,,,,,,,,,,,,,,
"8101",Canton,1,province,"8100",fra,true,admin,2024-05-09 13:01:26.953,,,false,,,,,,,,,,,,,,,,,
"8102",Delaware,1,province,"8100",fra,true,admin,2024-05-09 13:01:26.953,,,false,,,,,,,,,,,,,,,,,
"8201",Farmington,2,ville,"8101",fra,true,admin,2024-05-09 13:01:26.953,,,false,,,,,,,,,,,,,,,,,
"8202",Eldorado,2,ville,"8101",fra,true,admin,2024-05-09 13:01:26.953,,,false,,,,,,,,,,,,,,,,,
"8203",Magnolia,2,ville,"8102",fra,true,admin,2024-05-09 13:01:26.953,,,false,,,,,,,,,,,,,,,,,
"8204",Alhambra,2,ville,"8102",fra,true,admin,2024-05-09 13:01:26.953,,,false,,,,,,,,,,,,,,,,,
"8301",Grahamstown,3,village,"8201",fra,true,admin,2024-05-09 13:01:26.953,,,false,,,,,,,,,,,,,,,,,
"8302",Prétoria,3,village,"8201",fra,true,admin,2024-05-09 13:01:26.953,,,false,,,,,,,,,,,,,,,,,
