"hierarchy_level","hierarchy_level_name","lang_code","is_active","cr_by","cr_dtimes","upd_by","upd_dtimes","is_deleted","del_dtimes"
0,country,eng,true,admin,2024-05-09 12:54:47.887,,,false,
1,provience,eng,true,admin,2024-05-09 12:54:47.887,,,false,
2,city,eng,true,admin,2024-05-09 12:54:47.887,,,false,
3,village,eng,true,admin,2024-05-09 12:54:47.887,,,false,
0,دولة,ara,true,admin,2024-05-09 12:54:47.887,,,false,
1,بروفينس,ara,true,admin,2024-05-09 12:54:47.887,,,false,
2,مدينة,ara,true,admin,2024-05-09 12:54:47.887,,,false,
3,قرية,ara,true,admin,2024-05-09 12:54:47.887,,,false,
0,pays,fra,true,admin,2024-05-09 12:54:47.887,,,false,
1,province,fra,true,admin,2024-05-09 12:54:47.887,,,false,
2,ville,fra,true,admin,2024-05-09 12:54:47.887,,,false,
3,village,fra,true,admin,2024-05-09 12:54:47.887,,,false,
0,ದೇಶ,kan,true,admin,2024-05-09 12:54:47.887,,,false,
1,ಪ್ರಾವಿನ್ಸ್,kan,true,admin,2024-05-09 12:54:47.887,,,false,
2,ನಗರ,kan,true,admin,2024-05-09 12:54:47.887,,,false,
3,ಗ್ರಾಮ,kan,true,admin,2024-05-09 12:54:47.887,,,false,
0,நாடு,tam,true,admin,2024-05-09 12:54:47.887,,,false,
1,மாகாணம்,tam,true,admin,2024-05-09 12:54:47.887,,,false,
2,நகரம்,tam,true,admin,2024-05-09 12:54:47.887,,,false,
3,கிராமம்,tam,true,admin,2024-05-09 12:54:47.887,,,false,
0,país,spa,true,admin,2024-05-09 12:54:47.887,,,false,
1,provincia,spa,true,admin,2024-05-09 12:54:47.887,,,false,
2,ciudad,spa,true,admin,2024-05-09 12:54:47.887,,,false,
3,aldea,spa,true,admin,2024-05-09 12:54:47.887,,,false,
0,देश,hin,true,admin,2024-05-09 12:54:47.887,,,false,
1,प्रांत,hin,true,admin,2024-05-09 12:54:47.887,,,false,
2,शहर,hin,true,admin,2024-05-09 12:54:47.887,,,false,
3,गाँव,hin,true,admin,2024-05-09 12:54:47.887,,,false,
