"id","name","cntrtyp_code","addr_line1","addr_line2","addr_line3","latitude","longitude","location_code","contact_phone","contact_person","number_of_kiosks","working_hours","per_kiosk_process_time","center_start_time","center_end_time","lunch_start_time","lunch_end_time","time_zone","holiday_loc_code","zone_code","lang_code","is_active","cr_by","cr_dtimes","upd_by","upd_dtimes","is_deleted","del_dtimes"
"11313",temp1,REG,bengaluru,karnataka,"","12.8450","77.6632","8301","","1234567890",15,"9",00:20:00,09:00:00,18:00:00,12:30:00,13:30:00,(GTM+01:00) CENTRAL EUROPEAN TIME,"8204","8203",eng,true,globaladmin,2024-05-09 07:43:01.337,"2409",2024-05-13 08:38:46.408,false,
"11347",DSLyAqVBT1,REG,DSLj1G8b2a,"","","78.5478","45.2456","8301","",rtestsd,0,"3.5",00:30:00,09:00:00,16:30:00,13:00:00,14:00:00,(GTM+01:00) CENTRAL EUROPEAN TIME,"8204","8203",eng,true,masterdata-test0,2024-05-11 04:34:23.753,masterdata-test0,2024-05-11 04:34:23.903,false,
"11315",DSLhfbp0aZ,REG,DSLL9ox7vB,"","","78.5478","45.2456","8301","",rtestsd,0,"3.5",00:30:00,09:00:00,16:30:00,13:00:00,14:00:00,(GTM+01:00) CENTRAL EUROPEAN TIME,"8204","8203",eng,true,masterdata-testat0,2024-05-10 01:02:46.775,masterdata-testat0,2024-05-10 01:02:47.133,false,
"11314",DSLxZdF4xV,REG,DSLYAWdyBR,"","","78.5478","45.2456","8301","",rtestsd,0,"3.5",00:30:00,09:00:00,16:30:00,13:00:00,14:00:00,(GTM+01:00) CENTRAL EUROPEAN TIME,"8204","8203",eng,false,masterdata-testat0,2024-05-10 01:02:31.252,masterdata-testat0,2024-05-10 01:02:59.858,true,2024-05-10 01:02:59.858
"11348",DSLknMhN40,REG,DSL1KZeC5X,"","","78.5478","45.2456","8301","",rtestsd,0,"3.5",00:30:00,09:00:00,16:30:00,13:00:00,14:00:00,(GTM+01:00) CENTRAL EUROPEAN TIME,"8204","8203",eng,true,masterdata-test0,2024-05-11 04:34:32.036,masterdata-test0,2024-05-11 04:34:32.258,false,
"11328",DSLBxuSWyM,REG,DSLlXfLuNc,"","","78.5478","45.2456","8301","",rtestsd,0,"3.5",00:30:00,09:00:00,16:30:00,13:00:00,14:00:00,(GTM+01:00) CENTRAL EUROPEAN TIME,"8204","8203",eng,true,masterdata-test0,2024-05-10 04:23:11.879,masterdata-test0,2024-05-10 04:23:12.101,false,
"11329",DSLGl0GzEh,REG,DSL8JPxFFG,"","","78.5478","45.2456","8301","",rtestsd,0,"3.5",00:30:00,09:00:00,16:30:00,13:00:00,14:00:00,(GTM+01:00) CENTRAL EUROPEAN TIME,"8204","8203",eng,true,masterdata-test0,2024-05-10 04:23:16.277,masterdata-test0,2024-05-10 04:23:16.483,false,
"11603",DSL52wV3nr,REG,DSLqFU44g7,"","","78.5478","45.2456","8301","",rtestsd,0,"3.5",00:30:00,09:00:00,16:30:00,13:00:00,14:00:00,(GTM+01:00) CENTRAL EUROPEAN TIME,"8204","8203",eng,true,masterdata-testat0,2024-05-20 12:08:19.963,masterdata-testat0,2024-05-20 12:08:20.120,false,
"11330",DSLKkctwbi,REG,DSLBvTcpeT,"","","78.5478","45.2456","8301","",rtestsd,0,"3.5",00:30:00,09:00:00,16:30:00,13:00:00,14:00:00,(GTM+01:00) CENTRAL EUROPEAN TIME,"8204","8203",eng,true,masterdata-test0,2024-05-10 04:23:27.503,masterdata-test0,2024-05-10 04:23:27.760,false,
"11331",DSLRWfdw6P,REG,DSLxojMkzR,"","","78.5478","45.2456","8301","",rtestsd,0,"3.5",00:30:00,09:00:00,16:30:00,13:00:00,14:00:00,(GTM+01:00) CENTRAL EUROPEAN TIME,"8204","8203",eng,true,masterdata-test0,2024-05-10 04:23:28.645,masterdata-test0,2024-05-10 04:23:28.874,false,
