"code","name","hierarchy_level","hierarchy_level_name","hierarchy_path","parent_zone_code","lang_code","is_active","cr_by","cr_dtimes","upd_by","upd_dtimes","is_deleted","del_dtimes"
"1104",Wrumsas,1,Provincia,"1000/1104","1000",spa,true,"6262",2024-03-19 14:27:13.800,,2024-03-20 04:55:36.099,false,
"1104",வ்ரும்சாஸ்,1,மாகாணம்,"1000/1104","1000",tam,true,"6262",2024-03-19 14:27:13.800,,2024-03-20 04:55:36.099,false,
"1000",நாடு,0,நாடு,"1000",null,tam,true,"6262",2024-03-19 14:27:13.800,,2024-03-20 04:55:36.099,false,
"1105",டிராபஸ்,1,மாகாணம்,"1000/1105","1000",tam,true,"6262",2024-03-19 14:27:13.800,,2024-03-20 04:55:36.099,false,
"1106",स्लेरोन,1,प्रांत,"1000/1106","1000",hin,true,"6262",2024-03-19 14:27:13.800,,2024-03-20 04:55:36.099,false,
"1106",ஸ்லாரன்,1,மாகாணம்,"1000/1106","1000",tam,true,"6262",2024-03-19 14:27:13.800,,2024-03-20 04:55:36.099,false,
"1001",ஏஜெடோஸ்,2,உள்ளூர்,"1000/1104/1001","1104",tam,true,"6262",2024-03-19 14:27:13.800,,2024-03-20 04:55:36.099,false,
"1002",அகாபிஸ்,2,உள்ளூர்,"1000/1105/1002","1105",tam,true,"6262",2024-03-19 14:27:13.800,,2024-03-20 04:55:36.099,false,
"1003",एंडआउट इलिस्टेट्स,2,इलाका,"1000/1106/1003","1106",hin,true,"6262",2024-03-19 14:27:13.800,,2024-03-20 04:55:36.099,false,
"1003",Andout Ilistates,2,உள்ளூர்,"1000/1106/1003","1106",tam,true,"6262",2024-03-19 14:27:13.800,,2024-03-20 04:55:36.099,false,
"1109",சார்ஸ்,3,நகராட்சி,"1000/1104/1001/1109","1001",tam,true,"6262",2024-03-19 14:27:13.800,,2024-03-20 04:55:36.099,false,
"1110",ஸ்ரீதா,3,நகராட்சி,"1000/1104/1001/1110","1001",tam,true,"6262",2024-03-19 14:27:13.800,,2024-03-20 04:55:36.099,false,
"1111",ட்ரோர்,3,நகராட்சி,"1000/1105/1002/1111","1002",tam,true,"6262",2024-03-19 14:27:13.800,,2024-03-20 04:55:36.099,false,
"1112",इलेपोलिस,3,नगर पालिका,"1000/1105/1002/1112","1002",hin,true,"6262",2024-03-19 14:27:13.800,,2024-03-20 04:55:36.099,false,
"1112",இல்லேபோலிஸ்,3,நகராட்சி,"1000/1105/1002/1112","1002",tam,true,"6262",2024-03-19 14:27:13.800,,2024-03-20 04:55:36.099,false,
"1113",अकबरी,3,नगर पालिका,"1000/1106/1003/1113","1003",hin,true,"6262",2024-03-19 14:27:13.800,,2024-03-20 04:55:36.099,false,
"1113",அகபுரி,3,நகராட்சி,"1000/1106/1003/1113","1003",tam,true,"6262",2024-03-19 14:27:13.800,,2024-03-20 04:55:36.099,false,
"1114",ओगुसे,3,नगर पालिका,"1000/1106/1003/1114","1003",hin,true,"6262",2024-03-19 14:27:13.800,,2024-03-20 04:55:36.099,false,
"1114",ஓகுஸி,3,நகராட்சி,"1000/1106/1003/1114","1003",tam,true,"6262",2024-03-19 14:27:13.800,,2024-03-20 04:55:36.099,false,
"1001",Agedos,2,Localidad,"1000/1104/1001","1104",spa,true,"6262",2024-03-19 14:27:13.800,,2024-03-20 04:55:36.099,false,
"1109",chares,3,Municipio,"1000/1104/1001/1109","1001",spa,true,"6262",2024-03-19 14:27:13.800,,2024-03-20 04:55:36.099,false,
"1110",Srita,3,Municipio,"1000/1104/1001/1110","1001",spa,true,"6262",2024-03-19 14:27:13.800,,2024-03-20 04:55:36.099,false,
"1002",Akabis,2,Localidad,"1000/1105/1002","1105",spa,true,"6262",2024-03-19 14:27:13.800,,2024-03-20 04:55:36.099,false,
"1111",Trore,3,Municipio,"1000/1105/1002/1111","1002",spa,true,"6262",2024-03-19 14:27:13.800,,2024-03-20 04:55:36.099,false,
"1003",Y fuera de los ilistates,2,Localidad,"1000/1106/1003","1106",spa,true,"6262",2024-03-19 14:27:13.800,,2024-03-20 04:55:36.099,false,
"1113",Akabury,3,Municipio,"1000/1106/1003/1113","1003",spa,true,"6262",2024-03-19 14:27:13.800,,2024-03-20 04:55:36.099,false,
"1114",Ogusey,3,Municipio,"1000/1106/1003/1114","1003",spa,true,"6262",2024-03-19 14:27:13.800,,2024-03-20 04:55:36.099,false,
"1000",país,0,país,"1000",null,spa,true,"6262",2024-03-19 14:27:13.800,,2024-03-20 04:55:36.099,false,
"1000",ದೇಶ,0,ದೇಶ,"1000",null,kan,true,"6262",2024-03-19 14:27:13.800,,2024-03-20 04:55:36.099,false,
"1000",country,0,country,"1000",null,eng,true,"6262",2024-03-12 12:56:53.969,,2024-03-20 04:55:36.099,false,
"1104",Wrumsas,1,Province,"1000/1104","1000",eng,true,"6262",2024-03-12 12:56:53.969,,2024-03-20 04:55:36.099,false,
