"hierarchy_level","hierarchy_level_name","lang_code","is_active","cr_by","cr_dtimes","upd_by","upd_dtimes","is_deleted","del_dtimes"
1,مقاطعة,ara,true,globaladmin,2024-03-12 12:55:29.455,,2024-03-20 04:57:30.615,false,
2,محلية,ara,true,globaladmin,2024-03-12 12:55:29.455,,2024-03-20 04:57:30.615,false,
0,country,eng,true,globaladmin,2024-03-12 12:55:29.455,,2024-03-20 04:57:30.615,false,
1,Province,eng,true,globaladmin,2024-03-12 12:55:29.455,,2024-03-20 04:57:30.615,false,
2,Locality,eng,true,globaladmin,2024-03-12 12:55:29.455,,2024-03-20 04:57:30.615,false,
3,Municipality,eng,true,globaladmin,2024-03-12 12:55:29.455,,2024-03-20 04:57:30.615,false,
4,Zip Code,eng,true,globaladmin,2024-03-12 12:55:29.455,,2024-03-20 04:57:30.615,false,
0,بلد,ara,true,globaladmin,2024-03-12 12:55:29.455,,2024-03-20 04:57:30.615,false,
3,البلدية,ara,true,globaladmin,2024-03-12 12:55:29.455,,2024-03-20 04:57:30.615,false,
4,الرمز البريدي,ara,true,globaladmin,2024-03-12 12:55:29.455,,2024-03-20 04:57:30.615,false,
0,pays,fra,true,globaladmin,2024-03-12 12:55:29.455,,2024-03-20 04:57:30.615,false,
1,Province,fra,true,globaladmin,2024-03-12 12:55:29.455,,2024-03-20 04:57:30.615,false,
2,Localité,fra,true,globaladmin,2024-03-12 12:55:29.455,,2024-03-20 04:57:30.615,false,
3,Municipalité,fra,true,globaladmin,2024-03-12 12:55:29.455,,2024-03-20 04:57:30.615,false,
4,Code postal,fra,true,globaladmin,2024-03-12 12:55:29.455,,2024-03-20 04:57:30.615,false,
0,देश,hin,true,"6262",2024-03-19 14:12:40.506,,2024-03-20 04:57:30.615,false,
1,Provincia,spa,true,"6262",2024-03-19 14:12:40.506,,2024-03-20 04:57:30.615,false,
2,Localidad,spa,true,"6262",2024-03-19 14:12:40.506,,2024-03-20 04:57:30.615,false,
3,Municipio,spa,true,"6262",2024-03-19 14:12:40.506,,2024-03-20 04:57:30.615,false,
0,ದೇಶ,kan,true,"6262",2024-03-19 14:12:40.506,,2024-03-20 04:57:30.615,false,
0,நாடு,tam,true,"6262",2024-03-19 14:12:40.506,,2024-03-20 04:57:30.615,false,
0,país,spa,true,"6262",2024-03-19 14:12:40.506,,2024-03-20 04:57:30.615,false,
1,प्रांत,hin,true,"6262",2024-03-19 14:12:40.506,,2024-03-20 04:57:30.615,false,
1,ಪ್ರಾಂತ್ಯ,kan,true,"6262",2024-03-19 14:12:40.506,,2024-03-20 04:57:30.615,false,
1,மாகாணம்,tam,true,"6262",2024-03-19 14:12:40.506,,2024-03-20 04:57:30.615,false,
2,इलाका,hin,true,"6262",2024-03-19 14:12:40.506,,2024-03-20 04:57:30.615,false,
2,ಸ್ಥಳೀಯತೆ,kan,true,"6262",2024-03-19 14:12:40.506,,2024-03-20 04:57:30.615,false,
2,உள்ளூர்,tam,true,"6262",2024-03-19 14:12:40.506,,2024-03-20 04:57:30.615,false,
3,नगर पालिका,hin,true,"6262",2024-03-19 14:12:40.506,,2024-03-20 04:57:30.615,false,
3,ಪುರಸಭೆ,kan,true,"6262",2024-03-19 14:12:40.506,,2024-03-20 04:57:30.615,false,
3,நகராட்சி,tam,true,"6262",2024-03-19 14:12:40.506,,2024-03-20 04:57:30.615,false,
4,Código postal,spa,true,"6262",2024-03-19 14:12:40.506,,2024-03-20 04:57:30.615,false,
4,ज़िप कोड,hin,true,"6262",2024-03-19 14:12:40.506,,2024-03-20 04:57:30.615,false,
4,ಪಿನ್ ಕೋಡ್,kan,true,"6262",2024-03-19 14:12:40.506,,2024-03-20 04:57:30.615,false,
4,அஞ்சல் குறியீடு,tam,true,"6262",2024-03-19 14:12:40.506,,2024-03-20 04:57:30.615,false,
