"id","name","cntrtyp_code","addr_line1","addr_line2","addr_line3","latitude","longitude","location_code","contact_phone","contact_person","number_of_kiosks","working_hours","per_kiosk_process_time","center_start_time","center_end_time","lunch_start_time","lunch_end_time","time_zone","holiday_loc_code","zone_code","lang_code","is_active","cr_by","cr_dtimes","upd_by","upd_dtimes","is_deleted","del_dtimes"
"10228",DSLpNtjT6T,REG,DSLTU2yRax,"","","78.5478","45.2456","1185","",rtestsd,0,"3.5",00:30:00,09:00:00,16:30:00,13:00:00,14:00:00,(GTM+01:00) CENTRAL EUROPEAN TIME,"1001","1114",eng,true,masterdata-test0,2024-03-22 01:02:47.541,masterdata-test0,2024-03-22 01:02:47.709,false,
"10230",DSLc652Fo7,REG,DSL2sLneh5,"","","78.5478","45.2456","1185","",rtestsd,0,"3.5",00:30:00,09:00:00,16:30:00,13:00:00,14:00:00,(GTM+01:00) CENTRAL EUROPEAN TIME,"1001","1114",eng,true,masterdata-test0,2024-03-22 01:04:21.762,masterdata-test0,2024-03-22 01:04:21.914,false,
"10229",DSLan9UWEN,REG,DSLcZ9Miy2,"","","78.5478","45.2456","1185","",rtestsd,0,"3.5",00:30:00,09:00:00,16:30:00,13:00:00,14:00:00,(GTM+01:00) CENTRAL EUROPEAN TIME,"1001","1114",eng,false,masterdata-test0,2024-03-22 01:04:00.658,masterdata-test0,2024-03-22 01:04:24.715,true,2024-03-22 01:04:24.715
"10231",DSL7prxfu8,REG,DSLxCTfS9r,"","","78.5478","45.2456","1185","",rtestsd,0,"3.5",00:30:00,09:00:00,16:30:00,13:00:00,14:00:00,(GTM+01:00) CENTRAL EUROPEAN TIME,"1001","1114",eng,true,masterdata-test0,2024-03-22 01:04:31.215,masterdata-test0,2024-03-22 01:04:31.363,false,
"10238",DSL0oJUy9Z,REG,DSLrbTqXie,"","","78.5478","45.2456","1185","",rtestsd,0,"3.5",00:30:00,09:00:00,16:30:00,13:00:00,14:00:00,(GTM+01:00) CENTRAL EUROPEAN TIME,"1001","1114",eng,false,masterdata-test0,2024-03-22 01:05:14.916,masterdata-test0,2024-03-22 01:05:38.914,true,2024-03-22 01:05:38.914
"10233",DSLdtf5DAm,REG,DSL8XgJhLc,"","","78.5478","45.2456","1185","",rtestsd,0,"3.5",00:30:00,09:00:00,16:30:00,13:00:00,14:00:00,(GTM+01:00) CENTRAL EUROPEAN TIME,"1001","1114",eng,true,masterdata-test0,2024-03-22 01:04:44.064,masterdata-test0,2024-03-22 01:04:44.195,false,
"10234",DSLxjFWd9o,REG,DSLrsYxfEf,"","","78.5478","45.2456","1185","",rtestsd,0,"3.5",00:30:00,09:00:00,16:30:00,13:00:00,14:00:00,(GTM+01:00) CENTRAL EUROPEAN TIME,"1001","1114",eng,true,masterdata-test0,2024-03-22 01:04:44.550,masterdata-test0,2024-03-22 01:04:44.678,false,
"10236",DSLoiP3Vji,REG,DSLsFuu1bd,"","","78.5478","45.2456","1185","",rtestsd,0,"3.5",00:30:00,09:00:00,16:30:00,13:00:00,14:00:00,(GTM+01:00) CENTRAL EUROPEAN TIME,"1001","1114",eng,true,masterdata-test0,2024-03-22 01:05:04.255,masterdata-test0,2024-03-22 01:05:04.431,false,
"10232",DSLqK4PEDl,REG,DSL8qsm0e2,"","","78.5478","45.2456","1185","",rtestsd,0,"3.5",00:30:00,09:00:00,16:30:00,13:00:00,14:00:00,(GTM+01:00) CENTRAL EUROPEAN TIME,"1001","1114",eng,false,masterdata-test0,2024-03-22 01:04:41.572,masterdata-test0,2024-03-22 01:05:05.584,true,2024-03-22 01:05:05.584
"10235",DSLxu939TD,REG,DSL4CyyJSe,"","","78.5478","45.2456","1185","",rtestsd,0,"3.5",00:30:00,09:00:00,16:30:00,13:00:00,14:00:00,(GTM+01:00) CENTRAL EUROPEAN TIME,"1001","1114",eng,false,masterdata-test0,2024-03-22 01:04:52.224,masterdata-test0,2024-03-22 01:05:13.948,true,2024-03-22 01:05:13.948
"10237",DSLLi9zhUR,REG,DSLGwtebvE,"","","78.5478","45.2456","1185","",rtestsd,0,"3.5",00:30:00,09:00:00,16:30:00,13:00:00,14:00:00,(GTM+01:00) CENTRAL EUROPEAN TIME,"1001","1114",eng,false,masterdata-test0,2024-03-22 01:05:04.363,masterdata-test0,2024-03-22 01:05:16.961,true,2024-03-22 01:05:16.961
"10017",temp1,REG,bengaluru11,"","","12.8450","77.6632","1184","","1234567890",12,"8",00:20:00,09:30:00,17:30:00,00:00:00,00:00:00,(GTM+01:00) CENTRAL EUROPEAN TIME,"1001","1114",eng,true,globaladmin,2024-03-12 11:13:04.168,globaladmin,2024-03-12 11:13:08.953,false,
"10239",DSL9KGsvGc,REG,DSLNPBh74S,"","","78.5478","45.2456","1185","",rtestsd,0,"3.5",00:30:00,09:00:00,16:30:00,13:00:00,14:00:00,(GTM+01:00) CENTRAL EUROPEAN TIME,"1001","1114",eng,true,masterdata-test0,2024-03-22 01:05:39.220,masterdata-test0,2024-03-22 01:05:39.406,false,
"10240",DSLSNrtq5F,REG,DSLZr7Pa25,"","","78.5478","45.2456","1185","",rtestsd,0,"3.5",00:30:00,09:00:00,16:30:00,13:00:00,14:00:00,(GTM+01:00) CENTRAL EUROPEAN TIME,"1001","1114",eng,true,masterdata-test0,2024-03-22 01:05:39.369,masterdata-test0,2024-03-22 01:05:39.523,false,
"10241",DSLi0zJajD,REG,DSLacLdPP4,"","","78.5478","45.2456","1185","",rtestsd,0,"3.5",00:30:00,09:00:00,16:30:00,13:00:00,14:00:00,(GTM+01:00) CENTRAL EUROPEAN TIME,"1001","1114",eng,true,masterdata-test0,2024-03-22 01:05:47.366,masterdata-test0,2024-03-22 01:05:47.490,false,
"10242",DSL19KnlbY,REG,DSLfAWt1aZ,"","","78.5478","45.2456","1185","",rtestsd,0,"3.5",00:30:00,09:00:00,16:30:00,13:00:00,14:00:00,(GTM+01:00) CENTRAL EUROPEAN TIME,"1001","1114",eng,true,masterdata-test0,2024-03-22 01:05:51.019,masterdata-test0,2024-03-22 01:05:51.151,false,
"10227",DSLBZLhlC3,REG,DSLyc2Dccr,"","","78.5478","45.2456","1185","",rtestsd,0,"3.5",00:30:00,09:00:00,16:30:00,13:00:00,14:00:00,(GTM+01:00) CENTRAL EUROPEAN TIME,"1001","1114",eng,false,masterdata-test0,2024-03-22 01:02:33.630,masterdata-test0,2024-03-22 01:06:11.711,true,2024-03-22 01:06:11.711
"10255",DSLreDow5i,REG,DSL7DhBwVM,"","","78.5478","45.2456","1185","",rtestsd,0,"3.5",00:30:00,09:00:00,16:30:00,13:00:00,14:00:00,(GTM+01:00) CENTRAL EUROPEAN TIME,"1001","1114",eng,true,masterdata-test0,2024-03-23 01:03:40.509,masterdata-test0,2024-03-23 01:03:40.754,false,
"10254",DSLkdt7pT2,REG,DSLWy7UZ7e,"","","78.5478","45.2456","1185","",rtestsd,0,"3.5",00:30:00,09:00:00,16:30:00,13:00:00,14:00:00,(GTM+01:00) CENTRAL EUROPEAN TIME,"1001","1114",eng,false,masterdata-test0,2024-03-23 01:03:29.659,masterdata-test0,2024-03-23 01:03:53.200,true,2024-03-23 01:03:53.200
"10253",DSLBqDEJy3,REG,DSL4Czrpyg,"","","78.5478","45.2456","1185","",rtestsd,0,"3.5",00:30:00,09:00:00,16:30:00,13:00:00,14:00:00,(GTM+01:00) CENTRAL EUROPEAN TIME,"1001","1114",eng,true,masterdata-test0,2024-03-23 01:02:34.221,masterdata-test0,2024-03-23 01:02:34.363,false,
"10256",DSLjXWfpuW,REG,DSLh1KWECz,"","","78.5478","45.2456","1185","",rtestsd,0,"3.5",00:30:00,09:00:00,16:30:00,13:00:00,14:00:00,(GTM+01:00) CENTRAL EUROPEAN TIME,"1001","1114",eng,true,masterdata-test0,2024-03-23 01:03:59.561,masterdata-test0,2024-03-23 01:03:59.687,false,
"10258",DSLkCz4dBA,REG,DSLTUi7S2u,"","","78.5478","45.2456","1185","",rtestsd,0,"3.5",00:30:00,09:00:00,16:30:00,13:00:00,14:00:00,(GTM+01:00) CENTRAL EUROPEAN TIME,"1001","1114",eng,true,masterdata-test0,2024-03-23 01:04:12.185,masterdata-test0,2024-03-23 01:04:12.309,false,
"10259",DSLrDbtFje,REG,DSL24Rb1si,"","","78.5478","45.2456","1185","",rtestsd,0,"3.5",00:30:00,09:00:00,16:30:00,13:00:00,14:00:00,(GTM+01:00) CENTRAL EUROPEAN TIME,"1001","1114",eng,true,masterdata-test0,2024-03-23 01:04:13.522,masterdata-test0,2024-03-23 01:04:13.639,false,
"10261",DSLh0u05ay,REG,DSLbkVsSuJ,"","","78.5478","45.2456","1185","",rtestsd,0,"3.5",00:30:00,09:00:00,16:30:00,13:00:00,14:00:00,(GTM+01:00) CENTRAL EUROPEAN TIME,"1001","1114",eng,false,masterdata-test0,2024-03-23 01:04:30.111,masterdata-test0,2024-03-23 01:04:42.095,true,2024-03-23 01:04:42.095
"10257",DSLoCf0VpD,REG,DSLr4XKjFe,"","","78.5478","45.2456","1185","",rtestsd,0,"3.5",00:30:00,09:00:00,16:30:00,13:00:00,14:00:00,(GTM+01:00) CENTRAL EUROPEAN TIME,"1001","1114",eng,false,masterdata-test0,2024-03-23 01:04:09.857,masterdata-test0,2024-03-23 01:04:33.426,true,2024-03-23 01:04:33.426
"10262",DSLqB9zdKq,REG,DSLtdNJ9wT,"","","78.5478","45.2456","1185","",rtestsd,0,"3.5",00:30:00,09:00:00,16:30:00,13:00:00,14:00:00,(GTM+01:00) CENTRAL EUROPEAN TIME,"1001","1114",eng,true,masterdata-test0,2024-03-23 01:04:33.740,masterdata-test0,2024-03-23 01:04:33.863,false,
"10260",DSLXyxGMy1,REG,DSLlzs7Swd,"","","78.5478","45.2456","1185","",rtestsd,0,"3.5",00:30:00,09:00:00,16:30:00,13:00:00,14:00:00,(GTM+01:00) CENTRAL EUROPEAN TIME,"1001","1114",eng,false,masterdata-test0,2024-03-23 01:04:19.812,masterdata-test0,2024-03-23 01:04:41.172,true,2024-03-23 01:04:41.172
"10264",DSLMKYifo3,REG,DSLA49WJcf,"","","78.5478","45.2456","1185","",rtestsd,0,"3.5",00:30:00,09:00:00,16:30:00,13:00:00,14:00:00,(GTM+01:00) CENTRAL EUROPEAN TIME,"1001","1114",eng,true,masterdata-test0,2024-03-23 01:04:56.730,masterdata-test0,2024-03-23 01:04:56.879,false,
"10265",DSLMqV4zDi,REG,DSLmvm2NGn,"","","78.5478","45.2456","1185","",rtestsd,0,"3.5",00:30:00,09:00:00,16:30:00,13:00:00,14:00:00,(GTM+01:00) CENTRAL EUROPEAN TIME,"1001","1114",eng,true,masterdata-test0,2024-03-23 01:04:59.995,masterdata-test0,2024-03-23 01:05:00.131,false,
"10266",DSLfYCgtB4,REG,DSLGGechAp,"","","78.5478","45.2456","1185","",rtestsd,0,"3.5",00:30:00,09:00:00,16:30:00,13:00:00,14:00:00,(GTM+01:00) CENTRAL EUROPEAN TIME,"1001","1114",eng,true,masterdata-test0,2024-03-23 01:05:05.260,masterdata-test0,2024-03-23 01:05:05.429,false,
"10263",DSLyjdfVhb,REG,DSLs4LjqXY,"","","78.5478","45.2456","1185","",rtestsd,0,"3.5",00:30:00,09:00:00,16:30:00,13:00:00,14:00:00,(GTM+01:00) CENTRAL EUROPEAN TIME,"1001","1114",eng,false,masterdata-test0,2024-03-23 01:04:44.775,masterdata-test0,2024-03-23 01:05:07.579,true,2024-03-23 01:05:07.579
"10267",DSLT70UtF7,REG,DSLC6hcdud,"","","78.5478","45.2456","1185","",rtestsd,0,"3.5",00:30:00,09:00:00,16:30:00,13:00:00,14:00:00,(GTM+01:00) CENTRAL EUROPEAN TIME,"1001","1114",eng,true,masterdata-test0,2024-03-23 01:05:05.567,masterdata-test0,2024-03-23 01:05:05.773,false,
"10252",DSLRyhfVlc,REG,DSLv5GcxSK,"","","78.5478","45.2456","1185","",rtestsd,0,"3.5",00:30:00,09:00:00,16:30:00,13:00:00,14:00:00,(GTM+01:00) CENTRAL EUROPEAN TIME,"1001","1114",eng,false,masterdata-test0,2024-03-23 01:02:20.742,masterdata-test0,2024-03-23 01:05:18.500,true,2024-03-23 01:05:18.500
"10279",DSLPTTx89T,REG,DSLPS8SsLs,"","","78.5478","45.2456","1185","",rtestsd,0,"3.5",00:30:00,09:00:00,16:30:00,13:00:00,14:00:00,(GTM+01:00) CENTRAL EUROPEAN TIME,"1001","1114",eng,false,masterdata-test0,2024-03-24 01:03:52.166,masterdata-test0,2024-03-24 01:04:16.170,true,2024-03-24 01:04:16.170
"10281",DSL18vifml,REG,DSLEiWhAWD,"","","78.5478","45.2456","1185","",rtestsd,0,"3.5",00:30:00,09:00:00,16:30:00,13:00:00,14:00:00,(GTM+01:00) CENTRAL EUROPEAN TIME,"1001","1114",eng,true,masterdata-test0,2024-03-24 01:04:22.323,masterdata-test0,2024-03-24 01:04:22.452,false,
"10282",DSL13zj2rb,REG,DSLg98CFYp,"","","78.5478","45.2456","1185","",rtestsd,0,"3.5",00:30:00,09:00:00,16:30:00,13:00:00,14:00:00,(GTM+01:00) CENTRAL EUROPEAN TIME,"1001","1114",eng,true,masterdata-test0,2024-03-24 01:04:30.044,masterdata-test0,2024-03-24 01:04:30.198,false,
"10289",DSLVh0kV7f,REG,DSLlirN6GN,"","","78.5478","45.2456","1185","",rtestsd,0,"3.5",00:30:00,09:00:00,16:30:00,13:00:00,14:00:00,(GTM+01:00) CENTRAL EUROPEAN TIME,"1001","1114",eng,true,masterdata-test0,2024-03-24 01:05:19.432,masterdata-test0,2024-03-24 01:05:19.566,false,
"10284",DSL7DtAoq1,REG,DSLwjxm05q,"","","78.5478","45.2456","1185","",rtestsd,0,"3.5",00:30:00,09:00:00,16:30:00,13:00:00,14:00:00,(GTM+01:00) CENTRAL EUROPEAN TIME,"1001","1114",eng,true,masterdata-test0,2024-03-24 01:04:34.824,masterdata-test0,2024-03-24 01:04:34.958,false,
"10290",DSLDrGFwJj,REG,DSLFz4LCaa,"","","78.5478","45.2456","1185","",rtestsd,0,"3.5",00:30:00,09:00:00,16:30:00,13:00:00,14:00:00,(GTM+01:00) CENTRAL EUROPEAN TIME,"1001","1114",eng,true,masterdata-test0,2024-03-24 01:05:19.546,masterdata-test0,2024-03-24 01:05:19.689,false,
"10278",DSLom1DkTT,REG,DSLA5RdZGE,"","","78.5478","45.2456","1185","",rtestsd,0,"3.5",00:30:00,09:00:00,16:30:00,13:00:00,14:00:00,(GTM+01:00) CENTRAL EUROPEAN TIME,"1001","1114",eng,true,masterdata-test0,2024-03-24 01:02:33.608,masterdata-test0,2024-03-24 01:02:33.806,false,
"10287",DSLl5Wzw7i,REG,DSLnlDk7m1,"","","78.5478","45.2456","1185","",rtestsd,0,"3.5",00:30:00,09:00:00,16:30:00,13:00:00,14:00:00,(GTM+01:00) CENTRAL EUROPEAN TIME,"1001","1114",eng,false,masterdata-test0,2024-03-24 01:05:02.746,masterdata-test0,2024-03-24 01:05:25.731,true,2024-03-24 01:05:25.731
"10280",DSLxTuUE8z,REG,DSLleyRiYC,"","","78.5478","45.2456","1185","",rtestsd,0,"3.5",00:30:00,09:00:00,16:30:00,13:00:00,14:00:00,(GTM+01:00) CENTRAL EUROPEAN TIME,"1001","1114",eng,true,masterdata-test0,2024-03-24 01:04:01.212,masterdata-test0,2024-03-24 01:04:01.431,false,
"10283",DSL3yhSibr,REG,DSLwsXeYlK,"","","78.5478","45.2456","1185","",rtestsd,0,"3.5",00:30:00,09:00:00,16:30:00,13:00:00,14:00:00,(GTM+01:00) CENTRAL EUROPEAN TIME,"1001","1114",eng,false,masterdata-test0,2024-03-24 01:04:32.522,masterdata-test0,2024-03-24 01:04:56.056,true,2024-03-24 01:04:56.056
"10291",DSLKaRcnF6,REG,DSLvYvgMRu,"","","78.5478","45.2456","1185","",rtestsd,0,"3.5",00:30:00,09:00:00,16:30:00,13:00:00,14:00:00,(GTM+01:00) CENTRAL EUROPEAN TIME,"1001","1114",eng,true,masterdata-test0,2024-03-24 01:05:32.292,masterdata-test0,2024-03-24 01:05:32.461,false,
"10285",DSLye9ypPR,REG,DSLVBLtrwD,"","","78.5478","45.2456","1185","",rtestsd,0,"3.5",00:30:00,09:00:00,16:30:00,13:00:00,14:00:00,(GTM+01:00) CENTRAL EUROPEAN TIME,"1001","1114",eng,false,masterdata-test0,2024-03-24 01:04:42.521,masterdata-test0,2024-03-24 01:05:04.129,true,2024-03-24 01:05:04.129
"10286",DSLV8lt3gu,REG,DSLrtrC6d9,"","","78.5478","45.2456","1185","",rtestsd,0,"3.5",00:30:00,09:00:00,16:30:00,13:00:00,14:00:00,(GTM+01:00) CENTRAL EUROPEAN TIME,"1001","1114",eng,false,masterdata-test0,2024-03-24 01:04:52.632,masterdata-test0,2024-03-24 01:05:04.860,true,2024-03-24 01:05:04.860
"10288",DSLkzkTghW,REG,DSL0c8jvPg,"","","78.5478","45.2456","1185","",rtestsd,0,"3.5",00:30:00,09:00:00,16:30:00,13:00:00,14:00:00,(GTM+01:00) CENTRAL EUROPEAN TIME,"1001","1114",eng,true,masterdata-test0,2024-03-24 01:05:05.097,masterdata-test0,2024-03-24 01:05:05.289,false,
"10292",DSLfXWefnc,REG,DSLimEP60S,"","","78.5478","45.2456","1185","",rtestsd,0,"3.5",00:30:00,09:00:00,16:30:00,13:00:00,14:00:00,(GTM+01:00) CENTRAL EUROPEAN TIME,"1001","1114",eng,true,masterdata-test0,2024-03-24 01:05:33.138,masterdata-test0,2024-03-24 01:05:33.272,false,
"10277",DSL4BsbuxL,REG,DSLiAdroCA,"","","78.5478","45.2456","1185","",rtestsd,0,"3.5",00:30:00,09:00:00,16:30:00,13:00:00,14:00:00,(GTM+01:00) CENTRAL EUROPEAN TIME,"1001","1114",eng,false,masterdata-test0,2024-03-24 01:02:19.975,masterdata-test0,2024-03-24 01:05:46.563,true,2024-03-24 01:05:46.563
"10303",DSLJu0hYZN,REG,DSLScV5Z3A,"","","78.5478","45.2456","1185","",rtestsd,0,"3.5",00:30:00,09:00:00,16:30:00,13:00:00,14:00:00,(GTM+01:00) CENTRAL EUROPEAN TIME,"1001","1114",eng,true,masterdata-test0,2024-03-25 01:02:32.637,masterdata-test0,2024-03-25 01:02:32.855,false,
"10306",DSLEoXqba8,REG,DSLh2bfkyR,"","","78.5478","45.2456","1185","",rtestsd,0,"3.5",00:30:00,09:00:00,16:30:00,13:00:00,14:00:00,(GTM+01:00) CENTRAL EUROPEAN TIME,"1001","1114",eng,true,masterdata-test0,2024-03-25 01:04:12.414,masterdata-test0,2024-03-25 01:04:12.550,false,
"10305",DSLuykCMuj,REG,DSLD95zV7G,"","","78.5478","45.2456","1185","",rtestsd,0,"3.5",00:30:00,09:00:00,16:30:00,13:00:00,14:00:00,(GTM+01:00) CENTRAL EUROPEAN TIME,"1001","1114",eng,true,masterdata-test0,2024-03-25 01:04:01.925,masterdata-test0,2024-03-25 01:04:02.060,false,
"10304",DSL4MWhq4o,REG,DSLiaPMbiD,"","","78.5478","45.2456","1185","",rtestsd,0,"3.5",00:30:00,09:00:00,16:30:00,13:00:00,14:00:00,(GTM+01:00) CENTRAL EUROPEAN TIME,"1001","1114",eng,false,masterdata-test0,2024-03-25 01:03:42.513,masterdata-test0,2024-03-25 01:04:06.291,true,2024-03-25 01:04:06.291
"10310",DSL4phBg8S,REG,DSLGJTXskM,"","","78.5478","45.2456","1185","",rtestsd,0,"3.5",00:30:00,09:00:00,16:30:00,13:00:00,14:00:00,(GTM+01:00) CENTRAL EUROPEAN TIME,"1001","1114",eng,false,masterdata-test0,2024-03-25 01:04:32.465,masterdata-test0,2024-03-25 01:04:53.927,true,2024-03-25 01:04:53.927
"10308",DSL3Dg6lPf,REG,DSLT2msKsh,"","","78.5478","45.2456","1185","",rtestsd,0,"3.5",00:30:00,09:00:00,16:30:00,13:00:00,14:00:00,(GTM+01:00) CENTRAL EUROPEAN TIME,"1001","1114",eng,true,masterdata-test0,2024-03-25 01:04:24.932,masterdata-test0,2024-03-25 01:04:25.157,false,
"10309",DSLduMMq6j,REG,DSLU4y84mL,"","","78.5478","45.2456","1185","",rtestsd,0,"3.5",00:30:00,09:00:00,16:30:00,13:00:00,14:00:00,(GTM+01:00) CENTRAL EUROPEAN TIME,"1001","1114",eng,true,masterdata-test0,2024-03-25 01:04:26.640,masterdata-test0,2024-03-25 01:04:26.797,false,
"10311",DSLVvazpp4,REG,DSLotWrFKc,"","","78.5478","45.2456","1185","",rtestsd,0,"3.5",00:30:00,09:00:00,16:30:00,13:00:00,14:00:00,(GTM+01:00) CENTRAL EUROPEAN TIME,"1001","1114",eng,false,masterdata-test0,2024-03-25 01:04:42.529,masterdata-test0,2024-03-25 01:04:54.683,true,2024-03-25 01:04:54.683
"10302",DSLdJeA8u7,REG,DSLfzKV7JG,"","","78.5478","45.2456","1185","",rtestsd,0,"3.5",00:30:00,09:00:00,16:30:00,13:00:00,14:00:00,(GTM+01:00) CENTRAL EUROPEAN TIME,"1001","1114",eng,false,masterdata-test0,2024-03-25 01:02:18.664,masterdata-test0,2024-03-25 01:06:00.483,true,2024-03-25 01:06:00.483
"10307",DSLxms93ko,REG,DSLmo3l5vR,"","","78.5478","45.2456","1185","",rtestsd,0,"3.5",00:30:00,09:00:00,16:30:00,13:00:00,14:00:00,(GTM+01:00) CENTRAL EUROPEAN TIME,"1001","1114",eng,false,masterdata-test0,2024-03-25 01:04:22.540,masterdata-test0,2024-03-25 01:04:46.215,true,2024-03-25 01:04:46.215
