"code","name","hierarchy_level","hierarchy_level_name","hierarchy_path","parent_zone_code","lang_code","is_active","cr_by","cr_dtimes","upd_by","upd_dtimes","is_deleted","del_dtimes"
"9100",دولة,0,دولة,"9100",null,ara,true,admin,2024-04-01 10:58:04.582,,,false,
"9100",country,0,country,"9100",null,eng,true,admin,2024-04-01 10:58:04.582,,,false,
"9101",Koshi,1,State,"9100/9101","9100",eng,true,admin,2024-04-01 10:58:04.582,,,false,
"9201",Chitwan,2,District,"9100/9101/9201","9101",eng,true,admin,2024-04-01 10:58:04.582,,,false,
"9301",Pokhara,3,Muncipality,"9100/9101/9201/9301","9201",eng,true,admin,2024-04-01 10:58:04.582,,,false,
"9401",Hatuwagadhi,4,Locality,"9100/9101/9201/9301/9401","9301",eng,true,admin,2024-04-01 10:58:04.582,,,false,
"9402",Aamchok,4,Locality,"9100/9101/9201/9301/9402","9301",eng,true,admin,2024-04-01 10:58:04.582,,,false,
"9501",Pipalbot Marga,5,Street,"9100/9101/9201/9301/9401/9501","9401",eng,true,admin,2024-04-01 10:58:04.582,,,false,
"9502",Ananda Bhairav Marg,5,Street,"9100/9101/9201/9301/9402/9502","9402",eng,true,admin,2024-04-01 10:58:04.582,,,false,
"9202",Banke,2,District,"9100/9102/9202","9102",eng,true,admin,2024-04-01 10:58:04.582,,,false,
"9302",Bhaktapur,3,Muncipality,"9100/9102/9202/9302","9202",eng,true,admin,2024-04-01 10:58:04.582,,,false,
"9403",Chaubise,4,Locality,"9100/9102/9202/9302/9403","9302",eng,true,admin,2024-04-01 10:58:04.582,,,false,
"9404",Sahidbhumi,4,Locality,"9100/9102/9202/9302/9404","9302",eng,true,admin,2024-04-01 10:58:04.582,,,false,
"9103",Bagmati,1,State,"9100/9103","9100",eng,true,admin,2024-04-01 10:58:04.582,,,false,
"9203",Sankhuwasabha,2,District,"9100/9103/9203","9103",eng,true,admin,2024-04-01 10:58:04.582,,,false,
"9303",Birgunj,3,Muncipality,"9100/9103/9203/9303","9203",eng,true,admin,2024-04-01 10:58:04.582,,,false,
"9405",Chhathar Jorpati,4,Locality,"9100/9103/9203/9303/9405","9303",eng,true,admin,2024-04-01 10:58:04.582,,,false,
"9304",Damak,3,Muncipality,"9100/9104/9204/9304","9204",eng,true,admin,2024-04-01 10:58:04.582,,,false,
"9407",Itahari,4,Locality,"9100/9104/9204/9304/9407","9304",eng,true,admin,2024-04-01 10:58:04.582,,,false,
"9105",Karnali,1,State,"9100/9105","9100",eng,true,admin,2024-04-01 10:58:04.582,,,false,
"9205",Ilam,2,District,"9100/9105/9205","9105",eng,true,admin,2024-04-01 10:58:04.582,,,false,
"9305",Ghorahi,3,Muncipality,"9100/9105/9205/9305","9205",eng,true,admin,2024-04-01 10:58:04.582,,,false,
"9409",Kalaiya,4,Locality,"9100/9105/9205/9305/9409","9305",eng,true,admin,2024-04-01 10:58:04.582,,,false,
"9101",كوشي,1,ولاية,"9100/9101","9100",ara,true,admin,2024-04-01 10:58:04.582,,,false,
"9102",Madhesh,1,State,"9100/9102","9100",eng,true,admin,2024-04-01 10:58:04.582,,,false,
"9102",مدهش,1,ولاية,"9100/9102","9100",ara,true,admin,2024-04-01 10:58:04.582,,,false,
"9103",باجماتي,1,ولاية,"9100/9103","9100",ara,true,admin,2024-04-01 10:58:04.582,,,false,
"9301",بوخارا,3,البلدية,"9100/9101/9201/9301","9201",ara,true,admin,2024-04-01 10:58:04.582,,,false,
"9204",Dang,2,District,"9100/9104/9204","9104",eng,true,admin,2024-04-01 10:58:04.582,,,false,
"9104",Gandaki,1,State,"9100/9104","9100",eng,true,admin,2024-04-01 10:58:04.582,,,false,
"9104",غانداكي,1,ولاية,"9100/9104","9100",ara,true,admin,2024-04-01 10:58:04.582,,,false,
"9104",Gandaki,1,État,"9100/9104","9100",fra,true,admin,2024-04-01 10:58:04.582,,,false,
"9105",كارنالي,1,ولاية,"9100/9105","9100",ara,true,admin,2024-04-01 10:58:04.582,,,false,
"9304",داماك,3,البلدية,"9100/9104/9204/9304","9204",ara,true,admin,2024-04-01 10:58:04.582,,,false,
"9305",غوراهي,3,البلدية,"9100/9105/9205/9305","9205",ara,true,admin,2024-04-01 10:58:04.582,,,false,
"9202",بانكي,2,يصرف,"9100/9102/9202","9102",ara,true,admin,2024-04-01 10:58:04.582,,,false,
"9406",Banepa,4,Locality,"9100/9103/9203/9303/9406","9303",eng,true,admin,2024-04-01 10:58:04.582,,,false,
"9408",Inaruwa,4,Locality,"9100/9104/9204/9304/9408","9304",eng,true,admin,2024-04-01 10:58:04.582,,,false,
"9410",Damak,4,Locality,"9100/9105/9205/9305/9410","9305",eng,true,admin,2024-04-01 10:58:04.582,,,false,
"9407",إيتاهاري,4,حلية,"9100/9104/9204/9304/9407","9304",ara,true,admin,2024-04-01 10:58:04.582,,,false,
"9409",كالايا,4,حلية,"9100/9105/9205/9305/9409","9305",ara,true,admin,2024-04-01 10:58:04.582,,,false,
"9201",شيتوان,2,يصرف,"9100/9101/9201","9101",ara,true,admin,2024-04-01 10:58:04.582,,,false,
"9203",سانخواسابها,2,يصرف,"9100/9103/9203","9103",ara,true,admin,2024-04-01 10:58:04.582,,,false,
"9205",إيلام,2,يصرف,"9100/9105/9205","9105",ara,true,admin,2024-04-01 10:58:04.582,,,false,
"9401",هاتواغادي,4,حلية,"9100/9101/9201/9301/9401","9301",ara,true,admin,2024-04-01 10:58:04.582,,,false,
"9402",امشوك,4,"حلية
","9100/9101/9201/9301/9402","9301",ara,true,admin,2024-04-01 10:58:04.582,,,false,
"9403",تشوبيس,4,"حلية
","9100/9102/9202/9302/9403","9302",ara,true,admin,2024-04-01 10:58:04.582,,,false,
"9404",ساهيدبهومي,4,حلية,"9100/9102/9202/9302/9404","9302",ara,true,admin,2024-04-01 10:58:04.582,,,false,
"9502",أناندا بهايراف مارج,5,شارع,"9100/9101/9201/9301/9402/9502","9402",ara,true,admin,2024-04-01 10:58:04.582,,,false,
"9503",Aabhusan Marg,5,Street,"9100/9102/9202/9302/9403/9503","9403",eng,true,admin,2024-04-01 10:58:04.582,,,false,
"9504",Aashirwad Galli,5,Street,"9100/9102/9202/9302/9404/9504","9404",eng,true,admin,2024-04-01 10:58:04.582,,,false,
"9505",Adamya Marg,5,Street,"9100/9103/9203/9303/9405/9505","9405",eng,true,admin,2024-04-01 10:58:04.582,,,false,
