Date,Module,T,P,S,F,I,KI,, ,Date,Module,T,P,S,F,I,KI
09-December-2025,auth,612,598,0,0,5,9,,,08-December-2025,auth,612,598,0,0,5,9
09-December-2025,idrepo,414,316,0,0,78,20,,,08-December-2025,idrepo,414,316,0,0,78,20
09-December-2025,masterdata-ara,945,888,0,7,15,35,,,08-December-2025,masterdata-ara,945,888,0,7,15,35
09-December-2025,masterdata-eng,945,922,0,1,0,22,,,08-December-2025,masterdata-eng,945,922,0,1,0,22
09-December-2025,masterdata-fra,945,906,0,1,15,23,,,08-December-2025,masterdata-fra,945,906,0,1,15,23
09-December-2025,partner,509,332,134,29,2,12,,,08-December-2025,partner,509,332,134,29,2,12
09-December-2025,prereg,288,277,0,0,2,9,,,08-December-2025,prereg,288,277,0,0,2,9
09-December-2025,resident,1142,590,70,470,0,12,,,08-December-2025,resident,1142,595,70,465,0,12
,,,,,,,,,,08-December-2025,adminui,16,13,0,3,0,0
,,,,,,,,,,08-December-2025,residentui,25,4,5,16,0,0
