Date,Module,T,P,S,F,I,KI,, ,Date,Module,T,P,S,F,I,KI,, ,Date,Module,T,P,S,F,I,KI,, ,Date,Module,T,P,S,F,I,KI
14-November-2025,auth,612,588,1,2,5,16,,,13-November-2025,auth,612,585,5,1,5,16,,,12-November-2025,auth,612,591,0,0,5,16,,,11-November-2025,injiverify,33,33,0,0,0,0
14-November-2025,idrepo,414,316,0,0,78,20,,,13-November-2025,idrepo,414,316,0,0,78,20,,,12-November-2025,idrepo,414,316,0,0,78,20,,,11-November-2025,dsl,204,154,0,14,9,27
14-November-2025,injiverify,33,33,0,0,0,0,,,13-November-2025,injiverify,33,33,0,0,0,0,,,12-November-2025,injiverify,33,33,0,0,0,0,,,11-November-2025,adminui,16,16,0,0,0,0
14-November-2025,masterdata-ara,945,896,0,0,15,34,,,13-November-2025,masterdata-ara,945,896,0,0,15,34,,,12-November-2025,masterdata-ara,945,896,0,0,15,34,,,11-November-2025,pmpui,15,0,15,0,0,0
14-November-2025,masterdata-eng,945,923,0,0,0,22,,,13-November-2025,masterdata-eng,945,923,0,0,0,22,,,12-November-2025,masterdata-eng,945,923,0,0,0,22,,,,,,,,,,
14-November-2025,masterdata-fra,945,907,0,0,15,23,,,13-November-2025,masterdata-fra,945,907,0,0,15,23,,,12-November-2025,masterdata-fra,945,907,0,0,15,23,,,,,,,,,,
14-November-2025,masterdata-hin,945,894,0,2,15,34,,,13-November-2025,masterdata-hin,945,896,0,0,15,34,,,12-November-2025,masterdata-hin,945,896,0,0,15,34,,,,,,,,,,
14-November-2025,masterdata-kan,945,896,0,0,15,34,,,13-November-2025,masterdata-kan,945,896,0,0,15,34,,,12-November-2025,masterdata-kan,945,896,0,0,15,34,,,,,,,,,,
14-November-2025,masterdata-tam,945,896,0,0,15,34,,,13-November-2025,masterdata-tam,945,896,0,0,15,34,,,12-November-2025,masterdata-tam,945,896,0,0,15,34,,,,,,,,,,
14-November-2025,mimoto,316,279,0,0,33,4,,,13-November-2025,mimoto,316,279,0,0,33,4,,,12-November-2025,mimoto,316,279,0,0,33,4,,,,,,,,,,
14-November-2025,partner,509,332,134,29,2,12,,,13-November-2025,partner,509,332,134,29,2,12,,,12-November-2025,partner,509,332,134,29,2,12,,,,,,,,,,
14-November-2025,prereg,288,277,0,0,2,9,,,13-November-2025,prereg,288,277,0,0,2,9,,,12-November-2025,prereg,288,277,0,0,2,9,,,,,,,,,,
14-November-2025,adminui,16,16,0,0,0,0,,,13-November-2025,dsl,204,158,0,10,9,27,,,12-November-2025,dsl,204,148,0,20,9,27,,,,,,,,,,
14-November-2025,pmpui,15,0,15,0,0,0,,,13-November-2025,adminui,16,15,0,1,0,0,,,12-November-2025,adminui,16,16,0,0,0,0,,,,,,,,,,
,,,,,,,,,,13-November-2025,pmpui,15,0,15,0,0,0,,,12-November-2025,pmpui,15,0,15,0,0,0,,,,,,,,,,
